,home_team_mean_offense_score,home_team_mean_midfield_score
9372,73.3,77.0
9373,70.7,73.0
9375,76.0,71.5
9376,79.0,76.2
9377,70.7,73.0
9378,81.7,75.8
9379,76.0,71.5
9383,83.3,76.2
9384,82.3,81.8
9385,76.0,71.5
9388,77.7,73.8
9389,70.7,73.0
9390,76.7,78.5
9392,82.0,78.0
9397,83.3,76.2
9399,76.3,73.8
9400,80.3,75.2
9402,70.7,73.0
9403,70.0,59.2
9404,73.3,77.0
9405,82.0,78.0
9410,83.3,76.2
9411,79.3,75.0
9412,76.7,78.5
9414,70.7,73.0
9415,70.0,59.2
9416,73.3,77.0
9417,82.0,78.0
9421,71.3,70.8
9422,83.3,76.2
9423,82.0,78.0
9427,82.0,78.0
9429,79.0,76.2
9431,76.7,78.5
9432,70.0,68.8
9433,69.0,69.5
9439,80.3,75.2
9443,70.3,74.8
9446,76.7,78.5
9448,69.0,69.5
9450,71.3,73.8
9451,70.3,74.8
9463,62.0,67.8
9465,77.7,74.2
9467,76.3,73.8
9468,82.3,81.8
9469,74.0,70.2
9470,82.3,75.8
9471,63.3,75.0
9472,86.0,87.0
9473,74.3,69.0
9476,90.0,88.2
9477,76.3,73.8
9478,91.0,89.0
9480,71.3,73.8
9482,77.3,81.5
9484,89.3,86.5
9486,79.3,75.0
9489,64.3,64.2
9491,80.3,75.2
9492,91.0,85.2
9493,66.7,70.5
9497,82.0,76.2
9499,78.3,77.0
9501,76.7,73.8
9502,79.0,76.2
9503,72.3,71.8
9504,88.7,89.2
9505,70.7,73.0
9506,79.0,79.8
9508,77.7,77.2
9510,63.3,75.0
9511,85.0,86.0
9515,80.3,75.2
9516,70.3,74.8
9540,76.7,78.5
9547,76.7,74.5
9548,76.7,74.5
9553,82.0,76.2
9555,80.3,75.2
9556,70.3,74.8
9559,79.7,76.2
9560,79.0,78.0
9561,80.3,75.2
9562,70.3,74.8
9564,82.0,76.2
9568,77.3,73.5
9569,77.7,73.8
9572,66.7,70.5
9573,74.3,69.0
9574,79.3,75.0
9575,82.3,75.8
9576,76.7,78.5
9577,79.7,76.2
9578,78.3,72.8
9579,73.0,71.5
9580,77.3,81.5
9581,83.7,78.5
9582,76.3,78.8
9583,83.3,79.2
9584,83.0,83.5
9585,79.3,75.0
9586,82.3,75.8
9587,79.0,79.8
9588,76.7,78.5
9589,81.7,80.5
9590,91.0,89.0
9591,69.0,69.2
9592,85.0,86.0
9593,91.0,85.2
9594,81.0,89.0
9595,82.3,75.8
9596,82.3,81.5
9597,88.7,89.2
9598,77.7,77.0
9599,77.7,77.2
9600,82.0,77.5
9601,64.3,64.2
9602,76.0,71.5
9603,79.0,79.8
9604,81.7,67.5
9605,76.7,78.5
9606,70.7,66.2
9607,86.0,87.0
9608,76.7,74.5
9609,83.0,83.5
9610,90.0,88.2
9611,85.0,86.0
9613,82.0,76.2
9614,70.7,73.0
9616,91.0,89.0
9617,69.0,69.2
9618,71.3,73.8
9621,72.3,71.8
9622,77.7,77.0
9623,91.0,85.2
9624,83.7,78.5
9626,85.0,86.0
9627,89.3,86.5
9630,83.3,79.2
9631,70.7,73.0
9632,82.0,77.5
9633,83.0,83.5
9634,90.0,88.2
9638,88.7,89.2
9639,77.7,77.0
9640,62.0,67.8
9641,92.7,92.0
9642,78.3,72.8
9643,73.3,77.0
9644,70.3,74.8
9645,91.0,85.2
9646,72.3,71.8
9647,79.0,79.8
9648,81.7,67.5
9649,76.3,78.8
9650,91.0,89.0
9651,88.7,89.2
9653,85.0,86.0
9654,82.0,76.2
9655,86.0,87.0
9656,90.0,88.2
9659,80.3,75.2
9660,82.3,81.5
9661,76.3,78.8
9662,89.3,86.5
9663,76.7,78.5
9664,92.7,92.0
9665,91.0,89.0
9666,79.3,75.0
9667,85.0,86.0
9668,88.7,89.2
9669,70.7,73.0
9671,90.0,88.2
9672,83.3,79.2
9673,86.0,87.0
9674,80.3,75.2
9675,91.0,85.2
9676,83.0,83.5
9677,89.3,86.5
9678,81.0,89.0
9679,92.7,92.0
9680,91.0,89.0
9681,70.3,74.8
9683,88.7,89.2
9685,70.0,68.8
9686,85.0,86.0
9687,80.0,70.2
9688,83.3,79.2
9689,71.3,73.8
9690,81.7,75.8
9691,91.0,85.2
9692,81.0,89.0
9693,82.0,77.5
9694,83.0,83.5
9695,73.3,77.0
9696,70.3,74.8
9698,77.7,77.0
9700,81.7,67.5
9701,86.0,87.0
9702,85.0,86.0
9705,90.0,88.2
9707,81.0,89.0
9709,89.3,86.5
9711,77.7,77.0
9712,92.7,92.0
9713,88.7,89.2
9715,85.0,86.0
9716,89.3,86.5
9718,92.7,92.0
9719,90.0,88.2
9721,85.0,86.0
9723,81.0,89.0
9725,85.0,86.0
9727,89.3,86.5
9729,70.0,59.2
9744,71.3,73.8
9745,70.3,74.8
9752,62.0,67.8
9753,73.3,77.0
9754,74.0,70.2
9755,77.3,73.5
9756,72.3,71.8
9757,81.7,67.5
9758,77.7,77.2
9759,76.3,78.8
9760,74.3,69.0
9763,79.7,76.2
9764,77.7,74.2
9765,83.3,76.2
9766,76.7,74.5
9767,69.0,69.5
9768,83.0,83.5
9769,81.7,80.5
9771,90.0,88.2
9774,76.3,73.8
9775,85.0,86.0
9778,71.3,73.8
9779,77.3,81.5
9780,89.3,86.5
9781,81.7,75.8
9782,70.3,74.8
9788,76.0,71.5
9790,83.7,78.5
9793,82.3,75.8
9794,78.3,77.0
9796,70.7,73.0
9800,70.0,59.2
9811,80.0,81.8
9813,75.3,73.5
9818,79.7,83.5
9819,72.3,69.0
9820,87.3,88.0
9824,85.3,86.0
9825,69.3,71.0
9826,88.7,83.8
9828,80.3,79.0
9833,82.0,76.2
9834,68.3,71.8
9835,77.7,75.0
9836,80.7,74.2
9837,79.3,77.5
9838,79.3,77.0
9839,84.3,77.8
9840,79.0,73.8
9841,77.0,73.8
9842,87.3,86.2
9843,79.3,77.0
9847,86.7,85.2
9861,72.3,72.0
9864,76.7,79.5
9865,69.7,74.8
9867,75.3,73.5
9869,71.3,76.2
9870,81.0,78.0
9872,74.7,71.8
9873,75.7,74.0
9874,88.3,85.2
9878,77.7,69.2
9881,80.3,79.0
9886,86.3,86.2
9887,68.3,71.8
9888,77.0,77.0
9890,77.7,75.0
9892,80.0,79.0
9896,79.0,73.8
9898,81.7,80.0
9899,79.3,77.0
9900,82.3,82.8
9902,80.3,73.2
9917,68.7,72.0
9923,68.7,72.0
9930,68.3,72.8
9933,72.0,66.2
9935,81.3,75.2
9937,81.0,78.0
9939,82.0,76.8
9940,67.7,64.0
9941,79.7,76.8
9942,83.3,76.8
9944,79.7,83.5
9945,80.0,81.8
9946,87.3,88.0
9949,85.3,86.0
9950,79.3,79.0
9952,69.3,71.0
9953,88.7,83.8
9960,86.3,84.2
9961,80.7,74.2
9962,80.0,79.0
9963,79.3,77.5
9964,84.3,77.8
9966,75.0,74.2
9967,81.7,80.0
9968,72.3,69.5
9969,76.7,79.5
9973,71.7,66.8
9974,83.7,78.5
9975,68.7,72.0
9976,80.3,79.0
9980,75.3,80.2
9984,89.3,87.5
9987,81.3,75.2
9988,75.3,73.5
9991,77.0,75.5
9992,71.3,76.2
9993,83.3,76.8
9994,88.3,85.2
9996,77.7,69.2
9999,77.7,79.2
10001,80.3,79.0
10006,86.3,86.2
10007,68.3,71.8
10012,77.7,75.0
10014,80.0,79.0
10016,84.3,77.8
10017,79.0,73.8
10018,87.3,86.2
10020,82.3,82.8
10021,80.3,73.2
10022,76.7,79.5
10024,82.0,80.0
10037,81.3,75.2
10039,75.3,80.2
10040,76.7,79.5
10041,72.0,66.2
10042,75.3,73.5
10044,77.0,75.5
10047,79.7,76.8
10048,67.0,68.2
10050,79.7,83.5
10051,72.3,69.0
10053,75.7,74.0
10054,88.3,85.2
10057,69.3,71.0
10059,77.7,79.2
10061,88.7,83.8
10062,83.7,78.5
10063,68.7,72.0
10064,68.3,72.8
10069,77.7,72.2
10070,86.3,86.2
10071,86.3,84.2
10072,84.3,77.8
10073,79.0,73.8
10074,87.3,86.2
10075,79.3,77.0
10077,72.3,69.5
10159,74.7,71.8
10166,74.7,71.8
10182,77.7,75.0
10185,81.3,75.2
10188,79.3,79.0
10189,83.7,78.5
10192,82.0,76.2
10193,68.3,71.8
10194,86.3,84.2
10195,69.7,74.8
10196,72.0,66.2
10198,77.0,75.5
10199,67.0,68.2
10200,78.0,76.5
10201,83.3,76.8
10203,72.3,69.0
10204,87.3,88.0
10205,88.3,85.2
10207,85.3,86.0
10213,77.7,72.2
10214,86.3,86.2
10215,77.7,75.0
10216,80.7,74.2
10218,79.3,77.0
10219,75.0,74.2
10221,75.7,76.0
10240,78.7,79.2
10250,68.7,72.0
10251,69.7,74.8
10252,72.0,66.2
10253,75.3,73.5
10254,89.3,87.5
10256,82.0,76.8
10258,67.0,68.2
10260,83.3,76.8
10262,79.7,83.5
10267,79.3,79.0
10269,77.7,79.2
10271,68.3,72.8
10273,80.3,79.0
10278,86.3,86.2
10279,82.0,76.2
10280,77.0,77.0
10281,77.7,75.0
10282,86.3,84.2
10284,79.3,77.5
10285,79.3,77.0
10287,87.3,86.2
10294,78.0,76.5
10295,71.7,66.8
10296,72.3,69.0
10302,75.3,80.2
10304,78.7,79.2
10305,75.7,76.0
10307,68.7,72.0
10308,89.3,87.5
10309,67.0,68.2
10313,81.0,78.0
10314,79.7,76.8
10315,78.0,76.5
10316,79.7,83.5
10317,88.3,85.2
10319,85.3,86.0
10320,69.3,71.0
10321,77.7,79.2
10323,88.7,83.8
10326,78.7,79.2
10327,68.3,71.8
10328,77.7,75.0
10329,80.7,74.2
10330,84.3,77.8
10331,75.0,74.2
10332,77.0,73.8
10333,87.3,86.2
10334,82.3,82.8
10335,80.3,73.2
10336,75.7,76.0
10338,76.7,79.5
10341,86.7,85.2
10348,79.7,76.8
10350,79.7,76.8
10353,74.7,71.8
10363,76.7,79.5
10369,71.7,66.8
10372,75.3,73.5
10374,87.3,88.0
10378,69.7,74.8
10379,81.3,75.2
10380,75.3,73.5
10383,77.0,75.5
10384,71.3,76.2
10385,67.7,64.0
10387,80.0,81.8
10391,75.7,74.0
10392,88.3,85.2
10393,85.3,86.0
10394,79.3,79.0
10396,77.7,69.2
10398,80.3,79.0
10402,78.7,79.2
10403,77.7,72.2
10405,77.0,77.0
10406,80.0,79.0
10408,75.0,74.2
10409,77.0,73.8
10411,79.3,77.0
10413,72.3,69.5
10415,75.7,76.0
10416,76.7,79.5
10420,74.7,71.8
10422,83.7,78.5
10429,72.0,66.2
10430,68.7,72.0
10431,68.3,72.8
10433,78.7,79.2
10434,82.3,82.8
10437,71.3,76.2
10438,81.0,78.0
10440,83.3,76.8
10441,74.7,71.8
10444,75.7,74.0
10445,88.3,85.2
10446,85.3,86.0
10447,79.3,79.0
10453,77.0,77.0
10454,80.7,74.2
10455,81.7,80.0
10458,75.7,76.0
10460,78.7,79.2
10466,75.7,76.0
10476,75.7,76.0
10478,78.7,79.2
10479,72.0,66.2
10482,72.3,72.0
10483,67.7,64.0
10490,72.3,69.5
10491,75.7,76.0
10495,82.0,76.8
10496,71.7,66.8
10502,75.3,80.2
10503,78.7,79.2
10519,75.7,76.0
10522,78.0,76.5
10528,75.7,76.0
10531,82.0,80.0
10533,89.3,87.5
10534,74.7,71.8
10537,86.7,85.2
10540,79.7,74.8
10541,80.3,79.0
10547,89.3,87.5
10548,78.7,79.2
10551,86.7,85.2
10555,75.7,76.0
10558,89.3,87.5
10559,78.7,79.2
10561,86.7,85.2
10562,78.0,76.5
10563,80.3,79.0
10565,79.7,76.8
10568,86.7,85.2
10569,81.3,75.2
10570,78.7,79.2
10572,68.3,72.8
10575,82.0,80.0
10577,80.3,79.0
10578,78.7,79.2
10586,78.7,79.2
10588,89.3,87.5
10589,67.0,68.2
10601,68.3,72.8
10606,68.3,72.8
10609,80.3,79.0
10622,75.7,79.2
10624,69.7,74.8
10625,72.0,66.2
10627,75.3,73.5
10630,77.0,75.5
10631,71.3,76.2
10632,81.0,78.0
10635,80.0,81.8
10636,74.7,71.8
10638,87.3,88.0
10640,75.7,74.0
10641,79.3,79.0
10642,69.3,71.0
10643,77.7,69.2
10644,83.7,78.5
10645,68.3,72.8
10651,75.3,80.2
10652,78.7,79.2
10654,68.3,71.8
10655,77.0,77.0
10657,79.7,74.8
10658,80.7,74.2
10659,80.0,79.0
10661,79.3,77.5
10662,79.0,73.8
10664,81.7,80.0
10665,79.3,77.0
10668,72.3,69.5
10669,80.3,73.2
10698,75.3,71.2
10702,79.3,79.0
10704,73.0,61.0
10705,81.3,75.5
10707,71.3,69.8
10708,86.7,86.2
10712,71.0,73.0
10713,77.0,70.8
10714,87.0,85.0
10721,77.3,71.5
10722,88.0,82.8
10723,82.0,79.2
10724,79.0,64.0
10725,87.3,83.8
10726,81.7,77.5
10729,83.7,81.0
10730,81.3,74.8
10731,82.0,80.0
10732,75.0,75.2
10733,85.3,79.5
10737,76.3,79.5
10740,72.0,60.8
10742,58.3,60.5
10743,76.7,66.8
10745,79.0,79.8
10746,78.3,74.2
10749,78.3,75.5
10750,65.7,63.5
10751,80.3,77.2
10752,75.3,71.2
10754,79.3,79.0
10755,70.3,72.8
10758,71.7,76.5
10759,79.7,76.5
10760,69.7,75.0
10761,79.3,75.8
10763,78.3,82.8
10764,81.3,78.2
10765,86.7,86.2
10766,73.3,75.8
10767,87.7,86.2
10768,84.0,85.2
10769,76.3,66.8
10770,77.0,70.8
10775,79.0,79.8
10777,79.3,75.5
10778,79.0,64.0
10779,87.3,83.8
10781,75.0,75.2
10782,72.7,69.8
10783,78.3,74.2
10784,87.3,86.8
10785,81.3,79.5
10786,80.3,76.0
10791,78.3,74.2
10806,86.3,85.2
10810,77.7,75.0
10811,81.3,75.5
10813,81.3,78.2
10814,71.3,69.8
10817,86.7,86.2
10819,79.3,78.2
10820,71.0,73.0
10821,77.0,70.8
10822,79.3,78.5
10823,87.0,85.0
10827,79.0,64.0
10828,79.7,76.0
10829,80.7,75.2
10830,83.7,81.0
10831,75.0,75.2
10832,72.7,69.8
10833,79.3,79.0
10834,84.0,74.8
10836,79.3,75.8
10837,76.3,66.8
10839,79.0,79.8
10840,81.3,74.8
10843,81.3,75.5
10846,70.3,72.8
10847,75.3,71.2
10849,77.7,75.0
10851,71.7,76.5
10852,85.7,89.5
10853,78.7,80.5
10854,72.0,60.8
10855,81.3,78.2
10859,73.3,75.8
10860,87.7,86.2
10862,84.0,85.2
10863,79.3,78.5
10864,72.3,71.2
10865,87.0,85.0
10866,71.7,77.5
10872,79.0,79.8
10873,77.3,71.5
10874,88.0,82.8
10875,79.3,76.5
10876,79.7,76.0
10877,81.7,77.5
10880,85.3,79.5
10881,79.3,79.0
10882,81.3,79.5
10883,80.3,76.0
10887,67.7,70.0
10892,78.3,74.2
10913,75.3,71.2
10915,87.7,86.2
10917,70.3,72.8
10920,86.3,85.2
10921,80.3,77.2
10923,79.7,76.5
10924,79.3,75.8
10926,78.3,82.8
10928,73.3,75.8
10929,84.0,85.2
10930,79.3,78.2
10933,72.3,71.2
10938,88.0,82.8
10939,70.0,74.0
10940,79.3,75.5
10941,79.3,76.5
10942,79.7,76.0
10943,87.3,83.8
10944,83.7,81.0
10945,81.3,74.8
10946,78.3,74.2
10947,87.3,86.8
10948,70.7,70.2
10950,76.3,79.5
10951,74.7,80.8
10952,71.0,70.8
10953,79.0,64.0
10960,84.0,74.8
10961,68.3,70.8
10963,79.3,75.8
10964,78.3,74.2
10965,79.3,79.0
10969,75.3,71.2
10972,85.7,89.5
10973,78.7,80.5
10975,81.3,78.2
10976,71.3,69.8
10977,86.7,86.2
10980,84.0,85.2
10981,74.7,80.8
10982,71.0,73.0
10983,72.3,71.2
10984,87.0,85.0
10985,71.0,70.8
10987,77.3,71.5
10989,68.3,62.5
10992,87.3,83.8
10994,80.7,75.2
10996,82.0,80.0
10997,72.7,69.8
10998,87.3,86.8
10999,85.3,79.5
11001,81.3,79.5
11002,80.3,76.0
11006,82.0,80.0
11038,58.3,60.5
11043,70.7,70.2
11044,70.7,70.2
11045,82.0,79.2
11049,76.7,66.8
11051,77.3,71.5
11052,81.3,74.8
11055,72.0,60.8
11056,78.3,74.2
11061,77.3,71.5
11062,78.3,74.2
11064,78.3,75.5
11065,67.7,70.0
11066,74.7,80.8
11068,74.7,79.0
11070,82.0,79.2
11075,78.3,74.2
11076,70.7,70.2
11077,74.7,80.8
11078,76.7,66.8
11081,83.7,78.5
11082,82.0,79.2
11084,80.7,77.0
11087,71.7,77.5
11089,67.7,70.0
11091,81.3,74.8
11092,70.7,70.2
11093,74.7,80.8
11094,76.7,66.8
11097,83.7,78.5
11098,82.0,79.2
11099,68.3,69.5
11100,80.7,77.0
11103,71.7,77.5
11104,73.3,71.8
11108,81.3,74.8
11109,70.7,70.2
11115,74.7,80.8
11116,83.7,78.5
11121,70.7,70.2
11124,80.3,77.2
11125,75.3,71.2
11129,81.3,75.5
11131,78.3,82.8
11134,86.7,86.2
11136,79.3,78.2
11137,76.3,66.8
11138,71.0,73.0
11141,79.3,78.5
11142,72.3,71.2
11143,87.0,85.0
11144,71.0,70.8
11145,71.7,77.5
11148,73.3,71.8
11152,70.0,74.0
