,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,neutral_location
583,60,27,0,0,1,2,1
584,8,42,0,0,3,2,0
585,90,114,0,0,2,0,0
586,101,58,0,0,1,1,0
587,54,84,0,0,0,0,0
588,79,145,0,0,3,0,0
589,117,53,0,0,1,4,0
590,151,29,0,0,2,0,0
591,49,116,0,0,0,0,0
592,33,22,0,0,1,0,0
593,98,63,0,0,2,1,0
594,76,68,0,0,4,2,0
595,65,47,0,0,0,0,1
596,25,41,0,0,1,0,0
597,81,119,0,0,3,0,0
598,20,69,0,0,1,1,0
599,84,60,0,0,1,1,1
600,139,90,0,0,1,2,0
601,156,72,0,0,0,1,0
602,113,4,0,0,1,2,0
603,150,51,0,0,0,2,1
604,121,10,0,0,0,4,0
605,21,108,0,0,1,1,0
606,16,124,0,0,4,1,0
607,46,9,0,0,0,3,0
608,75,141,0,0,2,0,0
609,17,12,0,0,1,0,0
610,48,132,0,0,5,0,0
611,106,40,0,0,5,0,0
612,31,134,0,0,2,0,0
613,2,67,0,0,1,2,0
614,47,27,0,0,0,2,1
615,5,32,0,0,0,0,0
616,39,11,0,0,0,4,0
617,36,19,0,0,0,0,0
618,28,14,0,0,1,1,0
619,73,61,0,0,1,2,0
620,6,13,0,0,3,0,0
621,3,52,0,0,2,0,0
622,7,45,0,0,1,0,0
623,54,65,0,0,2,0,0
624,90,23,0,0,1,0,0
625,79,20,0,0,2,1,0
626,92,24,0,0,0,3,0
627,28,25,0,0,1,2,1
628,50,69,0,0,4,3,0
629,28,26,0,0,0,1,1
630,64,25,0,0,0,0,0
631,5,41,0,0,2,0,0
632,90,85,0,0,0,1,0
633,97,170,0,0,2,0,1
634,26,25,0,0,1,1,1
635,64,28,0,0,1,1,0
636,88,95,0,0,2,0,0
637,90,97,0,0,0,1,0
638,27,33,0,0,0,2,0
639,85,97,0,0,2,2,1
640,136,25,0,0,2,1,0
641,27,33,0,0,1,2,0
642,24,54,0,0,1,1,0
643,109,93,0,0,0,1,0
644,41,133,0,0,4,1,0
645,50,11,0,0,1,1,0
646,78,10,0,0,0,1,0
647,19,59,0,0,5,1,0
648,121,4,0,0,0,3,0
649,6,129,0,0,5,0,0
650,48,7,0,0,1,2,0
651,40,17,0,0,0,3,0
652,29,55,0,0,1,0,0
653,22,5,0,0,1,4,0
654,99,69,0,0,3,0,0
655,27,63,0,0,1,3,0
656,28,88,0,0,1,1,0
657,4,109,0,0,2,1,0
658,32,30,0,0,1,0,0
659,21,158,0,0,8,0,0
